English,Tigrigna,POS_CATEGORIES
happiness,ታሕጓስ,(n) noun
happy,ሕጉስ,(a) adjective
hard,ድሩቕ,(a) adjective
hare,ማንቲለ በረኻ,(n) noun
harm,ጉድለት,(n) noun
harmful,ተጓዳኢ,(a) adjective
harmless,ዘይጎድእ,(a) adjective
harmony,ስምምዕ,(n) noun
harvest,ቀውዒ,(n) noun
harvest,ቀውዐ,(v) verb
harvest grapes,ወይኒ ኣረየ,(v) verb
hat,ቆቢዕ,(n) noun
hate,ጸልአ,(v) verb
hay,ሓሰር,(n) noun
hazy,ግማዊ,(a) adjective
he,ንሱ,(prn) pronoun
head,"ኣስራሒት, ርእሲ",(n) noun
head,ኣስራሒ,(nm) noun masculine
head master,"ዳይረክቶር,",(n) noun
healing,ምሕዋይ,(n) noun
health,ጥዕና,(n) noun
healthy,ጥዑይ,(a) adjective
hear,ሰመዐ,(v) verb
hearing,ምስማዕ,(n) noun
heart,ልቢ,(n) noun
heat,ዋዒ,(n) noun
heat,ኣውዓየ,(v) verb
heater,መሞቒ,(n) noun
heating,መውዓይ,(n) noun
heavenly,ገነታዊ,(a) adjective
heavy,ከቢድ,(a) adjective
heel,"ታኮ, ሸኾና እግሪ",(n) noun
heels,ኩሩኹሮ,(n) noun
height,ቁመት,(n) noun
hello,ሰላም,(interj) interjection
helmet,ቆቢዕ ወታሃደር,(n) noun
help,ሓገዝ,(n) noun
help,ሓገዘ,(v) verb
henhouse,መራብሒ ደርሁ,(n) noun
here,ኣብዚ,(adv) adverb
hero,ቀንዲ ተዋሳኢ,(n) noun
heroic,ጀግና,(an) adjective noun
hers,ናታ,(a) adjective
hesitate,ተጠራጠረ,(v) verb
hesitation,ጥርጠራ,(n) noun
hide,ሐብአ,(v) verb
hiding place,መሕብኢ,(n) noun
high school,ካልኣይ ደረጃ,(n) noun
higher,ላዕላይ,(a) adjective
hill,ኩርባ,(n) noun
hip,ምሕኩልቲ,(n) noun
hips,ጎሎ,(n) noun
hire,ኣካረየ,(v) verb
his,ናቱ,(a) adjective
history,ታሪኽ,(n) noun
hit,ወቕዐ,(v) verb
hobo,ኮብላሊ,(n) noun
hold,ምሓዝ,(n) noun
hold,ሓዘ,(v) verb
hold up,ደንጎየ,(v) verb
hole,ነኳል,(an) adjective noun
hole,ጉድጓድ,(n) noun
holiday,(na) በዓል,(uncategorized) Uncategorized
holy,ቅዲስ,(a) adjective
holy,ጻድቕ,(n) noun
home,ገዛ,(n) noun
homeland,ዓደቦ,(n) noun
homeless,ኮብላሊ,(n) noun
homemade leavened bread,,(n) noun
honest,ሓቀኛ,(a) adjective
honesty,ቅንዕና,(n) noun
honey,ማዓር,(n) noun
honey wine,ሜስ,(n) noun
honour,ኣኽበረ,(v) verb
honourable,ክቡር,(a) adjective
hope,ተስፋ,(n) noun
hope for,ተተስፈየ,(v) verb
horizontal,ግድሞ,(a) adjective
horn,ቀርኒ,(n) noun
horrible,ኣሰንባዲ,(a) adjective
horse,ፈረስ,(n) noun
horse rider,ፈረሰኛ,(n) noun
horsemanship,ፈረስ ምስቃል,(n) noun
hose,ቱቦ,(n) noun
hospitable,ኣአንጋዲ,(a) adjective
hospital,ሆስፒታል,(n) noun
host,ተቐባል ጋሻ,(n) noun
hot,ውዑይ,(a) adjective
hotel,ሆቴል,(n) noun
hour,ሰዓት,(n) noun
house,ገዛ,(n) noun
how,ከመይ,(adv) adverb
how much,ክንደይ,(adv) adverb
however,"ግን, ግና, ጌና",(con) conjunction
huge,ግዙፍ,(a) adjective
human,ወዲ ሰብ,(a) adjective
humanitarian,ሰብኣዊ,(a) adjective
humanity,ፍጥረት ሰብ,(n) noun
humidity,ጠሊ,(n) noun
humiliate,ኣናሸወ,(v) verb
hump,መንዳዓት,(n) noun
hundred,ሚእቲ,(an) adjective noun
hundred kilos,ኩንታል,(n) noun
hunger,ጥሜት,(n) noun
hungry,ጥሙይ,(a) adjective
hunt,ሃደነ,(v) verb
hunter,ሃዳናይ,(n) noun
hurry,ታህዋኽ,(n) noun
hurry,ተሃወኸ,(v) verb
hurry up,ቀልጠፈ,(v) verb
hurt,ጉድኣት,(n) noun
hurt,ጐድአ,(v) verb
hurt oneself,ተጎድአ,(v) verb
husband,በዓል ቤት,(nm) noun masculine
hut,ኣጉዶ,(n) noun
hyena,ዝብኢ,(n) noun
hygiene,ስነ ጥዕና,(n) noun
I,ኣነ,(prn) pronoun
idea,ሓሳብ,(n) noun
ideal,ዝሰማማዕ,(n) noun
identify,ፈለጠ,(v) verb
ignorance,ድንቁርና,(n) noun
ignorant,ደንቆሮ,(a) adjective
ignore,ሻላ በለ,(v) verb
ill,ሕሙም,(n) noun
illuminate,ኣብረሀ,(v) verb
image,ስእሊ,(n) noun
imagine,ሓሰበ,(v) verb
imitate,ቀድሐ,(v) verb
immediately,ብኡንቡኡ,(adv) adverb
immobile,ዘይንቀሳቐስ,(a) adjective
importance,ኣድላይነት,(n) noun
important,ኣገዳሲ,(a) adjective
impossibility,ዘይካኣልነት,(n) noun
impossible,ዘይካኣል,(a) adjective
impress,ኣደነቐ,(v) verb
improve,ኣመሓየሸ,(v) verb
in advance,ኣቐዲምካ ዝግበር,(a) adjective
"in, go",ጠሓለ,(v) verb
incapable,ዘይክእል,(a) adjective
include,ወሰኸ,(v) verb
inconvenience,ጸገመ,(v) verb
increase,ወሰኸ,(v) verb
indeed,ብሓቂ,(adv) adverb
independence,ነጻነት,(n) noun
independent,ነጻ,(a) adjective
indicate,ኣመልከተ,(v) verb
indigestion,ዘይሕቀት መግቢ,(n) noun
industrial,ኡንዱስትሪያዋ,(a) adjective
industrial area,ዞባ ቤት,(a) adjective
industrialist,ኡንዱስትሪ,(n) noun
inevitable,ዘይተርፍ,(a) adjective
inevitably,ግድነት,(adv) adverb
infant,ሕጻን,(n) noun
infantile,ናይ ሕጻን,(a) adjective
inferior,ታሕታይ,(a) adjective
infinite,ወሰን ዘአይብሉ,(an) adjective noun
inflame,ኣሕረቐ,(v) verb
influence,ጽልዋ,(n) noun
inform,ኣፍለጠ,(v) verb
information,"ሓበሬታ, ወረ",(n) noun
ingratitude,ዘይምምስጋን,(n) noun
inhabitant,ተቐማጢ,(nm) noun masculine
inheritance,ውርሻ,(n) noun
injure,ጎድአ,(v) verb
injure oneself,ተጎድአ,(v) verb
injury,ጉድኣት,(n) noun
ink,ቀለም,(n) noun
ink well,ጥርሙዝ ቀለም,(n) noun
innocence,ንጽህና,(n) noun
innocent,ንጽህ,(a) adjective
inquiry,ወረ,(n) noun
insect,ሓሰኻ,(n) noun
inside,ውሽጢ,(a) adjective
insist,ብግዲ በለ,(v) verb
insoluble,ዘይፍታሕ,(a) adjective
inspect,በጽሐ,(v) verb
inspector,ተቖጻጻሪ,(n) noun
institute,ትካል,(n) noun
instructive,ሃናጺ,(a) adjective
instrument,መሳርሒ ኣቕሓ,(n) noun
insult,ጸርፊ,(n) noun
insult,ጸረፈ,(v) verb
intellectual,ምሁር,(a) adjective
intelligence,ኣስተውዕሎ,(n) noun
intelligent,ኣስተውዓሊ,(an) adjective noun
intend,ኣመስለ,(v) verb
intention,ዕላማ,(n) noun
interest,ወለድ,(n) noun
interesting,ኣገዳሲ,(a) adjective
interrupt,ኣቋረጸ,(v) verb
intervene,ጣልቃ ኣተወ,(v) verb
intestine,መዓንጣ,(n) noun
introduce,ኣላለየ,(v) verb
introduction,መእተዊ,(n) noun
invade,ወረረ,(v) verb
invalid,ዋጋ ዘይብሉ,(a) adjective
invent,መሃዘ,(v) verb
invention,ምህዞ,(n) noun
investigate,ኣጽንዐ,(v) verb
investigation,መርመረ,(n) noun
invisible,ዘይረአ,(a) adjective
invitation,ዕድመ,(n) noun
invite,ዓደመ,(v) verb
involve,ተኻፈለ,(v) verb
iron,ሓጺን,(n) noun
ironing,እስትራረ,(n) noun
irrigate,መስኖወ,(v) verb
irritate,ኣሕረቐ,(v) verb
island,ደሴት,(n) noun
isolate,ፈለየ,(v) verb
Italian,ኡጣልያዊ,(a) adjective
Italian parsley,ፐርሰሜሎ,(n) noun
item,ኣቕሓ,(n) noun
item of clothing,ክዳን,(n) noun
ivory,ስኒ ሓርማዝ,(n) noun
ivy,ኣይቢ ዓይነት ሓረግ,(n) noun
jacket,ጁባ,(n) noun
jacket,ጃኬት,(n) noun
jalapeño pepper,ጒዕ,(n) noun
jam,ማልመላታ,(n) noun
January,ጥሪ,(n) noun
jaw,መንጋጋ,(n) noun
jealous,ቀናአ,(a) adjective
jealousy,ቅንኢ,(n) noun
Jesus Christ,የሱስ ክርስቶስ,(n) noun
jewel,ስልማት,(n) noun
job,ስራሕ,(n) noun
join,ሰዓበ,(v) verb
joke,ላግጺ,(n) noun
jostle,ደፋፍአ,(v) verb
journal,ጋዜጣ,(n) noun
journalist,ጋዜጠኛ,(n) noun
journey,"ጉዕዞ, መገሻ",(n) noun
joy,ደስታ,(n) noun
joyful,ድሱት,(a) adjective
judge,"ፈራዲ, ዳኛ, ፈራዳይ",(n) noun
judge,ዓራቒት ፈራዲት,(nf) noun feminine
judge,ዓራቓይ,(nm) noun masculine
judge,"ዳነየ, ምፍራድ, ምፍታሕ",(v) verb
judgement,"ኣንፈት, ፍርዲ,",(n) noun
juicy,ፈሳሲ ዘለዎ,(a) adjective
July,ሓምለ,(n) noun
jump,ዝላ,(n) noun
jump,ዘለለ,(v) verb
junction,መራኸቢ,(n) noun
June,ሰነ,(n) noun
junior high school,ማእከላይ,(n) noun
juror,ፈራዲ,(n) noun
jury,ፈራዶ,(n) noun
just,ልክዕ,(a) adjective
justify,መግለጺ ሃበ,(v) verb
keep,ዓቀበ,(v) verb
kennel,ኣጉዶ,(n) noun
key,መፍትሕ,(n) noun
kick,ነድሐ,(v) verb
kidney,ኩላሊት,(n) noun
kill,ቀተለ,(v) verb
kilogram,ኪሎግራም,(n) noun
kilometre,ኪሎሜተር,(n) noun
kind,ትዑይ,(a) adjective
kind,ዓይነት,(n) noun
kindergarten,መውዓል ህጻናት,(n) noun
kindly,ሕያዋይ,(a) adjective
kindness,ለውሃት,(n) noun
king,ንጉስ,(n) noun
kingdom,ግዝኣት,(n) noun
kingly,ንጉሳዊ,(a) adjective
kiss,ስዕመት,(n) noun
kiss,ሰዓመ,(v) verb
kitchen,ክሽነ,(n) noun
kitten,ውላድ ድሙ,(n) noun
knead,ለወሰ,(v) verb
knee,ብርኪ,(n) noun
kneel,ተምበርከኸ,(v) verb
knew,ፍሉጥ,(a) adjective
knife,ካራ,(n) noun
knight,ፈረሰኛ,(n) noun
knit,ኣለመ,(v) verb
knock,ሃረመ,(v) verb
knot,ቁጻር,(n) noun
know,ፈለጠ,(v) verb
know how to,ፍልጠት,(n) noun
knowledge,ፍልጠት,(n) noun
ladder,ኣስካላ,(n) noun
lady,ሰበይቲ,(n) noun
lair,በዓቲ,(n) noun
lake,ቀላይ,(n) noun
lamb,ዕየት,(n) noun
lamp,ፋኑስ,(n) noun
lampshade,ገራድ ብርሃን,(n) noun
land,ዓለበ,(v) verb
language,ቛንቛ,(n) noun
large,"ዓብይ, ገዚፍ",(a) adjective
large intestine,ማዓንጣ,(n) noun
last,መጠረሽታ,(a) adjective
late,"(n) ድንጉይ,  ዝሓለፈ",(a) adjective
latecomer,ደንጓዩ,(n) noun
lateness,(n adv) ድንጉይ,(uncategorized) Uncategorized
latest,መጠረሽታ,(a) adjective
laugh,ሰሓቐ,(v) verb
"laugh, at",ተላገጸ,(v) verb
laughter,ሳሓቕ,(n) noun
law,ሕጊ,(v) verb
lawyer,ጠበቓ,(n) noun
lay,ኣቐመጠ,(v) verb
lay eggs,እንቋቑሖ ወለደት,(v) verb
laziness,ትህኪት,(n) noun
lazy,ሃካይ,(a) adjective
lead,"ኣምረሐ, መርሐ",(v) verb
leader,መራሒ,(n) noun
leaf,ቆጽሊ,(n) noun
leak,ሞሎቐ,(v) verb
lean,ቀጢን,(a) adjective
lean on,ተደገፈ,(v) verb
lean out,ደነነ,(v) verb
leap,ነጠረ,(v) verb
learn,ተማህረ,(v) verb
learned,ሊቕ,(n) noun
least,(a adv) ጎደሎ,(uncategorized) Uncategorized
leather,ቆርበት,(n) noun
leave,ገደፈ,(v) verb
lecture,ስብከት,(n) noun
left,ጸጋም,(an) adjective noun
"left, be",ተረፈ,(v) verb
leg,ዳንጋ,(n) noun
leg muscles,ሙሕኹልቲ,(n) noun
legacy,ውርሻ,(n) noun
legend,ኣፈ ታሪኽ,(n) noun
legs,ሙሕኹልቲ,(n) noun
lemon,ለሚን,(n) noun
lemon tree,ገረብ ለሚን,(n) noun
lend,ኣለቀሐ,(v) verb
lengthen,ኣንወሐ,(v) verb
lens,መርዓት ዓይኒ,(n) noun
lentils,ብርስን,(n) noun
leopard,ነብሪ,(n) noun
less,(a adv) ጎደሎ,(uncategorized) Uncategorized
lesson,መጽናዕቲ ትምህርቲ,(n) noun
let,ሓደገ,(v) verb
letter (alphabet),ፊደል,(n) noun
letter,ደብዳቤ,(n) noun
letter box,ቦስጣ ሳጹን,(n) noun
lettuce,ሳላጣ,(n) noun
level,ማዕረ,(a) adjective
liar,ሓሳዊ,(a) adjective
liberal,ሰፊሕ ሓሳብ,(a) adjective
liberty,ሓርነት,(n) noun
library,ቤተ ንባብ,(n) noun
lick,ለሓሰ,(v) verb
lid,መኽደኒ ድስቲ,(n) noun
lie,ሓሶት,(n) noun
lie,ተጋደመ,(v) verb
life,ሂወት,(n) noun
lift,ኣልዓለ,(v) verb
ligament,ጂማት,(n) noun
light,ፈኲስ,(a) adjective
light,ብራሃን,(n) noun
light,ኣብረሀ,(v) verb
light up,ወለዐ,(v) verb
likable,ፍሕሽው,(a) adjective
like,(adv a) ከም,(uncategorized) Uncategorized
limb,መሓውር,(n) noun
lime,ለሚን,(n) noun
limit,ደረት,(n) noun
limit,ወሰነ,(v) verb
line,መስመር,(n) noun
linen,ዓለባ,(n) noun
lining,ፎደራ,(n) noun
link,ሰንሰለት,(n) noun
lion,ኣንበሳ,(n) noun
lip,ከንፈር,(n) noun
liquid,ፈሳሲ,(a) adjective
list,ዝርዝር,(n) noun
listen,ሰምዐ,(v) verb
listen to,ኣድመጸ,(v) verb
liter,ሊተር,(n) noun
literature,ስነ ጽሑፋ,(n) noun
little,ንእሽተይ,(a) adjective
live,ሃለወ,(v) verb
liven,ህይወት ሃበ,(v) verb
liver,"ከብዲ, ጸላም አብዲ",(n) noun
living,ሂወታዊ,(a) adjective
living room,መዕረፊ ክፍሊ,(n) noun
load,ጽዕነት,(n) noun
load,ጸዓነ,(v) verb
loading,ጽዕነት,(n) noun
loan,ልቓሕ,(n) noun
loan,ኣለቀሐ,(v) verb
loathe,ጸልአ,(v) verb
local,ዞባዊ,(a) adjective
locality,ቦታ,(n) noun
lock,መሽገጥ,(n) noun
lock up,ዓጸወ,(v) verb
locomotive,ተንቀሳቓሲ,(a) adjective
locust,ኣንበጣ,(n) noun
loneliness,"ጽምዋ, ብሕትውና",(n) noun
lonely,ጽምው,(a) adjective
long,ነዊሕ,(a) adjective
long,ነዊሕ ግዝ,(adv) adverb
long sigh,ኣስተንፈሰ,(v) verb
long lived,ነዊሕ ጸናሒ,(a) adjective
look,ተመልከተ,(v) verb
look after,ተኸናኸነ,(v) verb
look at,ጠመተ,(v) verb
loosen,ነቐለ,(v) verb
lord,ጎይታ,(n) noun
lorry,መኪና ጽዕነት,(n) noun
lose,ተሳዓረ,(v) verb
loser,ስዑር,(a) adjective
loss,ክስራን,(n) noun
loud,ጫውጫውታ ዘለዎ,(a) adjective
love,ፍቕሪ,(n) noun
love,ኣፍቀረ,(v) verb
"love with, in",ፍቑር,(a) adjective
loving,ፍቑር,(a) adjective
low,ታሕቲ,(a) adjective
lower,"ነከየ, ኣትሓተ",(v) verb
luck,ዕድል,(n) noun
lunch,ቆረሰ,(v) verb
lung,ሳንቡእ,(n) noun
lungs,ሳንቡእ,(n) noun
luxury,ጣዐሚ,(n) noun
machine gun,ማሺን ጋን,(n) noun
Madame,ወይዘሮ,(n) noun
magical,ሽሕራዊ,(a) adjective
magnificent,ዘደንቕ,(a) adjective
mail,ደብዳቤ,(n) noun
mailman,ቦስጠኛ,(n) noun
main,ቀንዲ,(a) adjective
maintain,ናበየ,(v) verb
maize,ዑፉን,(n) noun
make,ገበረ,(v) verb
make a hole,ኣንኮለ,(v) verb
make bigger,ኣዕበየ,(v) verb
make up,ኣቖመ,(v) verb
make widely known,ቀልዐ,(v) verb
male,ተባዕታይ,(n) noun
malicious,ሃሳይ,(a) adjective
mammal,መጥበዊ,(n) noun
man,ሰብኣይ,(n) noun
manage,ኣመሓደረ,(v) verb
manager,ሓለቓ,(n) noun
mandate,ትእዛዝ,(n) noun
manifest,ኣግሃደ,(v) verb
mankind,ፍጥረት ሰብ,(n) noun
manner,ኣገባብ,(n) noun
manufacture,ሰርሐ,(v) verb
many,ብዙሕ,(adv) adverb
map,ካርታ,(n) noun
marble,"ባሊና, እምነ በረድ",(n) noun
march,መጋቢት,(n) noun
marine,ባሕራዊ,(a) adjective
maritime,ናይ ባሕሪ,(a) adjective
mark,ምልክት,(n) noun
marriage,መርዓ,(n) noun
married (get),ተመርዓወ,(v) verb
marry off,ኣመርዓወ,(v) verb
marvellous,ዘደንቕ,(a) adjective
mass,ቅዳሴ,(n) noun
mass,እኩብ,(n) noun
massage,ምድራዝ,(n) noun
master,መም ህር,(n) noun
match,ክርቢት,(n) noun
mate,ብጸይቲ,(nf) noun feminine
mate,ብጻይ,(nm) noun masculine
material,ኣቑሑ ህንጻ,(n) noun
matter,ጉዳይ,(n) noun
matter,ኣገደሰ,(v) verb
maturity,ብስለት,(n) noun
May,ጉንበት,(n) noun
mayor,ከንቲባ,(n) noun
me,ኣነ,(prn) pronoun
mead,ሜስ,(n) noun
meal,ብልዒ,(n) noun
mean,ሕሱም,(a) adjective
measles,ንፍዮ,(n) noun
measure,ዓቀነ,(v) verb
measurement,ዓቐን,(n) noun
meat,ስጋ,(n) noun
mechanic,መካኒክ,(n) noun
medal,መዳልያ,(n) noun
medication,መድሃኒት,(n) noun
medicine,ሕክምና,(n) noun
medium,ማእከል,(n) noun
meet,ተራኸበ,(v) verb
meeting,ኣኼባ,(n) noun
melt,ሓቐቐ,(v) verb
melting,ምሕቃቐ,(n) noun
member,ኣባል,(n) noun
Member of Parliament,,(n) noun
memory,ዝኽረት,(n) noun
mend,ኣዐረየ,(v) verb
mention,ረቝሐ,(v) verb
merchant,ነጋዳይ,(n) noun
mercy,ምሕረት,(n) noun
merit,ብቕዓት,(n) noun
messenger,መልእኽተኛ,(n) noun
metal,ብረት,(n) noun
metallic,ብረታዊ,(a) adjective
meteorology,ስነ ኣየር,(n) noun
meter,ቆጻሪ,(n) noun
method,ቀጥዒ,(n) noun
metre,ሜተር,(n) noun
middle,ማእከላይ,(a) adjective
middle,ማእከል,(n) noun
middle school,ማእከላይ ደረጃ,(n) noun
midnight,ፍርቂ ለይቲ,(n) noun
migrant,ስደተኛ,(a) adjective
military,ወተሃበራዊ,(a) adjective
milk,ጸባ,(n) noun
milk man,በዓል ጸባ,(nm) noun masculine
milk woman,በዓልቲ ጸባ,(nf) noun feminine
millimetre,ሚሊ ሜተር,(n) noun
mind,ጓሰየ,(v) verb
mine,(a prn) ናተይ,(uncategorized) Uncategorized
mineral,ማዕድን,(an) adjective noun
minister,ሚኒስተር,(n) noun
minor,"ንእሽቶ, ንእሽተይ",(a) adjective
minor,ፈሓር ማዕድን,(n) noun
minority,ውሑዳን,(n) noun
minute,ደቒቕ,(n) noun
miracle,ትኣምር,(n) noun
mirror,መስትያት,(n) noun
misdemeanour,በደል,(n) noun
misfortune,ሕማቕ ዕድል,(n) noun
miss,ወይዘሪት,(n) noun
miss,ሰሓተ,(v) verb
"missing, be",ጎደለ,(v) verb
missionary,ሰባኺ,(an) adjective noun
mistake,(na) ጌጋ,(uncategorized) Uncategorized
Mister,ኣቶ,(n) noun
mix,ሓዋወሰ,(v) verb
mixed,ሕውስዋስ,(a) adjective
moan,ጥርዓን,(n) noun
mob,ጽቕጥቅጥ,(n) noun
mobile,ተንቀሳቓሲ,(a) adjective
mocking,ሓጫጪ,(a) adjective
mode,ቅዲ ሞዳ,(n) noun
mode of transport,መጓዓዝያ,(n) noun
model,ቅዲ,(n) noun
modern,ግዚያዊ,(a) adjective
modest,ምቕሉል,(a) adjective
modesty,ትሕትና,(n) noun
moisture,ጠሊ,(n) noun
momentary,ግዚያዊ,(a) adjective
monastery,ገዳም,(n) noun
Monday,ሰኑይ,(n) noun
money,ሰልዲ,(n) noun
monk,ፈላሲ,(n) noun
monkey,ህበይ,(n) noun
month,ወርሒ,(n) noun
monthly,ወርሓዊ,(a) adjective
monument,ሓወልቲ,(n) noun
moral,ሞራል,(n) noun
more,ዝያዳ,(adv) adverb
more than enough,,(adv) adverb
morning,ናይ ንጉሆ,(a) adjective
morning,ንጉሆ,(n) noun
mortgage,ልቓሕ,(n) noun
mosque,መስጊድ,(n) noun
mosquito,ጣንጡ,(n) noun
mother,ኣደ,(n) noun
motionless,ዘይንቀሳቐስ,(a) adjective
motive,ምኽንያት,(n) noun
motor,ሞተር,(n) noun
motorbike,ሞቶ,(n) noun
mountain,ጎቦ,(n) noun
mountainous,ጎባዊ,(a) adjective
mouse,ኣንጭዋ,(n) noun
mouth,ኣፍ,(n) noun
move,ቦታ ቀየረ,(v) verb
move away,ረሓቐ,(v) verb
move everything out,ገዓዘ,(v) verb
"moved, be",ደንገጸ,(v) verb
much,ብዙሕ,(adv) adverb
mucus,ንፋጥ,(n) noun
mud,ጭቃ,(n) noun
muddy,ጭቃዊ,(a) adjective
mule,በቕሊ,(n) noun
multiple,ርባሕ,(an) adjective noun
multiplication,ምርባሕ,(n) noun
mumps,ጽጌዕ,(n) noun
municipal,ምምሕዳር ከተማ,(a) adjective
murder,ቀተለ,(v) verb
murderer,ቀታሊ,(an) adjective noun
murderous,ቀታሊ,(an) adjective noun
murmur,ኣዕዘምዘመ,(v) verb
muscle,ጭዋዳ,(n) noun
museum,ቤተ መዘከር,(n) noun
mushroom,ቃንጥሻ,(n) noun
music,ሙዚቃ,(n) noun
musician,ሙዚቀኛ,(an) adjective noun
mustard,ሰናፍጭ,(n) noun
mutton,ስጋ በጊዕ,(n) noun
mysterious,ምስጢራዊ,(a) adjective
mystery,ምስጢር,(n) noun
nail,መስማር,(n) noun
nail file,መብረድ,(n) noun
naive,ገርሂ,(a) adjective
narrow,ጽቢብ,(a) adjective
nastiness,ርግመት,(n) noun
nasty,ግናይ,(a) adjective
national,ሃገራዊ,(a) adjective
nationality,ዜግነት,(n) noun
natural,ባህርያዊ,(a) adjective
navigate,ሰፈፈ,(v) verb
near,ቀረበ,(a) adjective
nearly,ጥቓ,(adv) adverb
neat,ጽሩይ,(a) adjective
neatness,ጽሬት,(n) noun
necessary,ኣድላይ,(a) adjective
necessity,ኣድላይነት,(n) noun
neck,ክሳድ,(n) noun
necktie,ክራባታ,(n) noun
need,ደለየ,(v) verb
needle,መርፍእ,(n) noun
neglect,ሸለል በለ,(v) verb
negligence,ሸለልትነት,(n) noun
negligent,ዘይግደስ,(a) adjective
neighbourhood,ጉርብትና,(n) noun
neighbouring,ጎረቤት,(an) adjective noun
nephew (brother),ወዲ ሓዊ,(n) noun
nephew (sister),ወዲ ሓብቲ,(n) noun
nest,ገዛ ዑፍ,(n) noun
nest,ገዛ ዑፍ ሰርሐ,(v) verb
never,ብፍጹም,(adv) adverb
new,ሓዲሽ,(a) adjective
new year,ሓዲሽ ዓመት,(n) noun
news,ወረ,(n) noun
newspaper,ጋዜጣ,(n) noun
next,ዝስዕብ,(a) adjective
next,ቀጺሉ,(adv) adverb
nice,"ሕያዋይ, ጥዑም",(a) adjective
niece (brother),ጓል ሓዊ,(n) noun
niece (sister),ጓል ሓብቲ,(n) noun
night,ለይቲ,(n) noun
nightstand,ኮመዲኖ,(n) noun
night time,ለይታዊ,(a) adjective
nine,ትሽዓተ,(a) adjective
nineteen,ዓሰርተ ትሽዓተ,(an) adjective noun
ninety,ተስዓ,(an) adjective noun
ninth grade,ታሽዓይ ክፍሊ,(n) noun
no,እምቢ,(a) adjective
nobility,ጎይትነት,(n) noun
noise,ጫውጫውታ,(n) noun
noisy,ጫውጫውታ ዘለዎ,(a) adjective
normal,ልሙድ,(a) adjective
north,(na) ሰሜን,(uncategorized) Uncategorized
northern,(na) ሰሜናዊ,(uncategorized) Uncategorized
nose,ኣፍንጫ,(n) noun
nostril,"መስኮት ኣፍንጫ,",(n) noun
note,ነጥቢ ሓዘ,(v) verb
notebook,ጥራዝ,(n) noun
nothing,ገለኳ,(adv) adverb
notice,ምልክታ,(n) noun
notify,ኣፍለጠ,(v) verb
novel,ልብ ወለድ,(n) noun
novelist,ተራኺት,(nf) noun feminine
novelist,ተራኺ,(nm) noun masculine
November,ሕዳር,(n) noun
now,ሕጂ,(adv) adverb
numb,ኣደቀሰ,(v) verb
number,ቁጽሪ,(n) noun
numerous,ብዙሓት,(a) adjective
oak,ኦክ,(n) noun
oath,ማሕላ,(n) noun
obedience,ተኣዛዝነት,(n) noun
obedient,እዙዝ,(a) adjective
obey,ተኣዘዘ,(v) verb
objection,ጥርዓን,(n) noun
oblige,ኣገደደ,(v) verb
observation,ትዕዝብቲ,(n) noun
observe,ተዓዘበ,(v) verb
obstacle,ዕንቅፋት,(n) noun
occasion,ኣጋጣሚ,(n) noun
occupy,ሓዘ,(v) verb
ocean,ውቅያኖስ,(n) noun
October,ጥቅምቲ,(n) noun
odd,ዘይጽምዲ ቁጽሪ,(a) adjective
odour,ጨና,(n) noun
"off, take","ነፈረ, ኣልገሰ",(v) verb
"offence, v",ኣሕረቐ,(v) verb
offend,ኣቐየመ,(v) verb
offend against,ኣሕረቐ,(v) verb
offer,ወፈየ,(v) verb
officer,መኮነን,(n) noun
official,ወግዓዊ,(a) adjective
often,መብዛሕእቱ ግዝ,(adv) adverb
oil,ዘይቲ,(n) noun
old,"ኣረጊት,",(an) adjective noun
old age,እርጋን,(n) noun
olive tree,ኣውሊዕ,(n) noun
on top,ኣብ ልዕሊ,(adv) adverb
once again,እንደገና,(adv) adverb
one,ሓደ,(a) adjective
one time,ሓደ ግዜ,(adv) adverb
onion,ሽጉርቲ ቀይሕ,(n) noun
only,በይኑ,(a) adjective
open,ከፋት,(a) adjective
open,ከፈተ,(v) verb
opening,"ክፋት, ኣፍ",(n) noun
openly,ብቕንዕና,(adv) adverb
opera,ኦፐራ,(n) noun
operate,ጠብሐ,(v) verb
operating room,ክፍሊ,(n) noun
operation,መጥባሕቲ,(n) noun
opinion,ርእይቶ,(n) noun
opportunity,ኣጋጣሚ,(n) noun
oppose,ተጻረረ,(v) verb
opposite,ኣንጻር,(n) noun
orange,ኣራንቺ,(a) adjective
orange juice,ጹማቕ አራንቺ,(n) noun
orange tree,ገረብ ብርትኳን,(n) noun
order,ትእዛዝ,(n) noun
order,ኣዘዘ,(v) verb
ordinarily,ልሙዳዊ,(adv) adverb
ordinary,ልሙድ,(a) adjective
organ,ኦርጋን,(n) noun
organize,ኣዳለወ,(v) verb
oriental,ምብራቃስ,(a) adjective
origin,መበቆል,(n) noun
original,መበቆላዊ,(an) adjective noun
orphan,ዘኸታም,(n) noun
ostrich,ሰገን,(n) noun
otherwise,እንተዘይኮነ,(adv) adverb
ought,ይግባእ,(v) verb
ours,(a prn) ናትና,(uncategorized) Uncategorized
out of tune,ቃና ዘይብሉ,(a) adjective
outside,(adv n) ወጻኢ,(uncategorized) Uncategorized
oval,ቅርጺ እንቋቒሖ,(a) adjective
oven,እቶን,(n) noun
overcome,ሰዓረ,(v) verb
owe,ተኣወደ,(v) verb
owl,ጉንጓ,(n) noun
own,ኣጥረየ,(v) verb
owner,ወናኒ,(n) noun
