English,Tigrigna,POS_CATEGORIES,POS,MorphFeatures
discord,ጽልግልግ,(n) noun,noun,none
discourage,ተስፋ ዝቖረጸ,(a) adjective,adjective,none
discover,ረኸበ,(v) verb,verb,none
discrimination,ፍሉይነት,(n) noun,noun,none
discuss,ተዛተየ,(v) verb,verb,none
discussion,ክትዐ,(n) noun,noun,none
disease,ሕማም,(n) noun,noun,none
disgrace,ሕፍረት,(v) verb,verb,none
dishes,ኣቑሑ መግቢ,(n) noun,noun,none
dismiss,ኣሰነበተ,(v) verb,verb,none
disobedience,(vn) ዘይምእዛዝ,(uncategorized) Uncategorized,uncategorized,none
disobedient,ዘይምቕሉል,(a) adjective,adjective,none
disobey,(vn) ዘይምእዛዝ,(uncategorized) Uncategorized,uncategorized,none
disorder,ፋሕ ዝበለ,(n) noun,noun,none
dispatch,ሰደደ,(v) verb,verb,none
displace,ቦታ ቀየረ,(v) verb,verb,none
display,ምርኢት,(n) noun,noun,none
display,ኣቕረበ,(v) verb,verb,none
displeased,ዘይሕጉስ,(a) adjective,adjective,none
dissolve,ሓቐቐ,(v) verb,verb,none
distance,ርሕቀት,(n) noun,noun,none
distant,ርሑቕ,(a) adjective,adjective,none
distinction,ፍሉይነት,(n) noun,noun,none
distract,ኣዘናገዐ,(v) verb,verb,none
distribute,ዓደለ,(v) verb,verb,none
distribution,ዕደላ,(n) noun,noun,none
district,ኣከባቢ,(n) noun,noun,none
distrust,ጥርጣረ,(n) noun,noun,none
disturb,ሃወኸ,(v) verb,verb,none
ditch,ጉድጓድ,(n) noun,noun,none
dive,ተደርገመ,(v) verb,verb,none
divert,ጠወየ,(v) verb,verb,none
divide up,መቐለ,(v) verb,verb,none
division,ምምቃል,(n) noun,noun,none
divorce,ተፋትሐ ሓዳር,(v) verb,verb,none
divorced,ዝተፋትሐ,(a) adjective,adjective,none
do,ገበረ,(v) verb,verb,none
do away with,ኣጥፈአ,(v) verb,verb,none
do one's best,ጸዓረ,(v) verb,verb,none
do someone’s hair,ዘርገፈ,(v) verb,verb,none
docile,ምእዙዝ,(a) adjective,adjective,none
doctor,ሓኪም,(n) noun,noun,none
dog,ከልቢ,(n) noun,noun,none
dog house,ገዛ ኸልቢ,(n) noun,noun,none
doll,ባምቡላ,(n) noun,noun,none
dominate,ተቖጻጸረ,(v) verb,verb,none
donkey,ኣድጊ,(n) noun,noun,none
door,ማዕጾ,(n) noun,noun,none
doorstep,ደርኩኺት,(n) noun,noun,none
double,ዕጽፊ,(a) adjective,adjective,none
double,ደረበ,(v) verb,verb,none
doubt,ጥርጥር,(n) noun,noun,none
doubt,ተጠራጠረ,(v) verb,verb,none
dough,ቢሑቕ,(n) noun,noun,none
"down, take",ደምሰሰ,(v) verb,verb,none
dozen,ደርዘን,(n) noun,noun,none
dragon fly,ፈረሰኛ,(n) noun,noun,none
drain,ጸንቀቐ,(v) verb,verb,none
drama,ድራማ,(n) noun,noun,none
dramatic,ድራማዊ,(a) adjective,adjective,none
draw,"ኣንሰሓበ, ሰኣለ",(v) verb,verb,none
draw oneself up,ቀንዐ,(v) verb,verb,none
draw up,ነደፈ,(v) verb,verb,none
draw water,ገለለ,(v) verb,verb,none
drawer,ተመዛዚ,(n) noun,noun,none
drawing,ስእሊ,(n) noun,noun,none
dream,ሕልሚ,(n) noun,noun,none
dream,ሓለመ,(v) verb,verb,none
dress,ጀለብያ,(n) noun,noun,none
dress,ለበሰ,(v) verb,verb,none
dressing,ኣተሓኻኸማ,(n) noun,noun,none
dressmaker,ሰፋይ ክዳን,(n) noun,noun,none
dried,ንቑጽ,(a) adjective,adjective,none
drink,መሰተ,(v) verb,verb,none
drive,ዘወረ,(v) verb,verb,none
driver,መራሕ መኪና,(n) noun,noun,none
drop,ንጣብ,(n) noun,noun,none
drop,ወደቐ,(v) verb,verb,none
drought,ድርቂ,(n) noun,noun,none
drown,ጠሓለ,(v) verb,verb,none
"drowned, be",ጠሓለ,(v) verb,verb,none
drum,ኮቦሮ,(n) noun,noun,none
drunk,ሰኽራም,(a) adjective,adjective,none
dry,ንቑጽ,(a) adjective,adjective,none
dry,ኣንቀጸ,(v) verb,verb,none
dryness,ድርቂ,(n) noun,noun,none
duck,ደርሆ ማይ,(n) noun,noun,none
dull,ጎዲም,(a) adjective,adjective,none
dust,ዶሮና,(n) noun,noun,none
duty,ጉቡእ,(n) noun,noun,none
dwarf,ድንኪ,(an) adjective noun,adjective,noun-derived
dying,መዋቲ,(a) adjective,adjective,none
ear,እዝኒ,(n) noun,noun,none
early,ናይ ንጉሆ,(a) adjective,adjective,none
early,ብቑልጡፍ,(adv) adverb,adverb,none
ease,ቅሳነተ,(n) noun,noun,none
easily,ብቐሊል,(adv) adverb,adverb,none
easiness,ቅሊ,(n) noun,noun,none
east,ምብራቅ,(an) adjective noun,adjective,noun-derived
Easter,ፋሲካ,(n) noun,noun,none
easterly,ምብራቅ,(an) adjective noun,adjective,noun-derived
eat,በልዐ,(v) verb,verb,none
echo,መቓልሕ,(n) noun,noun,none
echo,መቓልሕ ሃበ,(v) verb,verb,none
economics,ዕቃበ,(n) noun,noun,none
economize,ቆጠበ,(v) verb,verb,none
economy,ዕቃበ,(n) noun,noun,none
edge,ወሰን ወሰን,(n) noun,noun,none
editor,ደራሲ,(n) noun,noun,none
educate,መሃረ,(v) verb,verb,none
education,ትምህርቲ,(n) noun,noun,none
effect,"ሳዕቤን, ውጽኢት",(n) noun,noun,none
effect,ሳዕቤን,(v) verb,verb,none
effort,ጻዕሪ,(n) noun,noun,none
egg,እንቋቑሖ,(n) noun,noun,none
egoism,ስስዐ,(n) noun,noun,none
eight,ሸሞንተ,(an) adjective noun,adjective,noun-derived
eighteen,ዓሰርተ ሸሞንተ,(an) adjective noun,adjective,noun-derived
eighth grade,ሻሙናይ ክፍሊ,(n) noun,noun,none
eighty,ሰማንያ,(an) adjective noun,adjective,noun-derived
elbow,ኩርናዕ ኢድ,(n) noun,noun,none
eldest,ቦኹሪ,(a) adjective,adjective,none
elect,መረጸ,(v) verb,verb,none
electrical,ኤለትሪካዊ,(a) adjective,adjective,none
electricity,ኤለትሪክ,(n) noun,noun,none
elegant,ምልኩዕ,(a) adjective,adjective,none
elementary school,መባእታ,(n) noun,noun,none
elephant,ሓርማዝ,(n) noun,noun,none
eleven,ዓሰርተ ሓደ,(an) adjective noun,adjective,noun-derived
eleventh grade,ዓሰርተ ሓደ,(n) noun,noun,none
elsewhere,ኣብ ካልእ ቦታ,(adv) adverb,adverb,none
empire,ንግስነት,(n) noun,noun,none
employ,ኣስረሐ,(v) verb,verb,none
employer,ዋሃብ ስራሕ,(n) noun,noun,none
employment,ስራሕ,(n) noun,noun,none
empty,ጥርሑ,(a) adjective,adjective,none
encircle,ኣኽበበ,(v) verb,verb,none
encourage,ኣተባብዐ,(v) verb,verb,none
end,መወዳእታ,(n) noun,noun,none
end,ኣቋረጸ,(v) verb,verb,none
enemy,ጸላኢ,(n) noun,noun,none
energetic,ጻዕረኛ,(a) adjective,adjective,none
energy,ሓይሊ,(n) noun,noun,none
engaged to (get),ተሓጸየ,(v) verb,verb,none
engagement,ሕጸ,(v) verb,verb,none
engine,ሞተር,(n) noun,noun,none
engineer,መሃንድስ,(n) noun,noun,none
English,እንግሊዛዊ,(a) adjective,adjective,none
English,እንግሊዘኛ,(n) noun,noun,none
engrave,ቀረጸ,(v) verb,verb,none
engraving,ቅርጺ,(n) noun,noun,none
enjoy,ደስ በሎ,(v) verb,verb,none
enlarge,ኣዕበየ,(v) verb,verb,none
enormous,ግዙፍ,(a) adjective,adjective,none
enough,(a adv) እኹል,(uncategorized) Uncategorized,uncategorized,none
"enough, be",ኣኸለ,(v) verb,verb,none
ensure,ኣረጋገጸ,(v) verb,verb,none
enter,ኣተወ,(v) verb,verb,none
enterprise,ወኒነ ትካል,(n) noun,noun,none
entertain,ኣዘናገዐ,(v) verb,verb,none
entirely,ብምሉኡ,(adv) adverb,adverb,none
entrance,መእተዊ ክፍሊ,(n) noun,noun,none
envelope,ሰታሪት,(n) noun,noun,none
equal,ማዕረ,(a) adjective,adjective,none
equally,ከምኡውን,(adv) adverb,adverb,none
equip,ኣዕጠቐ,(v) verb,verb,none
equipment,መሳርሒ,(n) noun,noun,none
eraser,መደምሰስ,(n) noun,noun,none
erect,ኣቕነዐ,(v) verb,verb,none
error,(na) ጌጋ,(uncategorized) Uncategorized,uncategorized,none
escape,መለቐ,(v) verb,verb,none
especially,ብፍላይ,(adv) adverb,adverb,none
essay,(nv) ፈተነ,(uncategorized) Uncategorized,uncategorized,none
essential,ግድነታዊ,(a) adjective,adjective,none
establish,መሰረተ,(v) verb,verb,none
estimate,ግምት,(n) noun,noun,none
estimate,ግምት,(v) verb,verb,none
eternal,ዘላኣለማዊ,(a) adjective,adjective,none
eternity,ዘላኣለም,(n) noun,noun,none
evacuate,ኣግዓዘ,(v) verb,verb,none
even,ጽምዲ ቁጽሪ,(a) adjective,adjective,none
evening,ምሸት,(n) noun,noun,none
event,ፍጻሜ,(n) noun,noun,none
ever,ብፍጹም,(adv) adverb,adverb,none
everyday,መዓልታዊ,(a) adjective,adjective,none
everywhere,ኣብ ኩኡ ቦታ,(adv) adverb,adverb,none
evidence,መረጋገጺ,(n) noun,noun,none
"evidence, give",መስከረ,(v) verb,verb,none
exact,ልክዕ,(a) adjective,adjective,none
exaggerate,ኣጋነነ,(v) verb,verb,none
exam,ምርመራ,(n) noun,noun,none
examine,መርመረ,(v) verb,verb,none
example,ኣብነት,(n) noun,noun,none
exception,ፍሉይነት,(n) noun,noun,none
exceptional,ፍሉይ,(a) adjective,adjective,none
exchange,ልውውጥ,(n) noun,noun,none
exchange,ተለዋወጠ,(v) verb,verb,none
excitement,ምቕስቃስ,(n) noun,noun,none
exclamation,ቃል ኣጋንኖ,(n) noun,noun,none
excuse,ምኽኒት,(n) noun,noun,none
excuse,ይቕረ በለ,(v) verb,verb,none
exercise,ልምምድ,(n) noun,noun,none
exhaust,ኣድከመ,(v) verb,verb,none
exhibit,ዘርገሐ,(v) verb,verb,none
exhibition,ምርኢት,(n) noun,noun,none
exist,ሃለወ,(v) verb,verb,none
existence,ህላዌ,(n) noun,noun,none
exit,መውጽኢ,(n) noun,noun,none
expand,ኣሰፍሐ,(v) verb,verb,none
expect,ተጸበየ,(v) verb,verb,none
expense,(adv n) ወጻኢ,(uncategorized) Uncategorized,uncategorized,none
expensive,ክቡር,(a) adjective,adjective,none
experience,ፈለጠ,(v) verb,verb,none
experienced,ፍሉጥ,(a) adjective,adjective,none
expire,ወደቐ,(v) verb,verb,none
explain,ኣረድአ,(v) verb,verb,none
explanation,መግለጺ,(n) noun,noun,none
explode,ነቶገ,(v) verb,verb,none
express,ገለጸ,(v) verb,verb,none
express train,ቅልጡፍ ባቡር,(n) noun,noun,none
extend,ኣናውሐ,(v) verb,verb,none
extraordinary,ፍሉይ,(a) adjective,adjective,none
eye,ዓይኒ,(n) noun,noun,none
eyebrow,"ሸፋሽፍቲ ዓይኒ,",(n) noun,noun,none
eyelash,ቅርኒብ ዓይኒ,(n) noun,noun,none
eyelid,ኮቦሮ ዓይኒ,(n) noun,noun,none
fabric,ዓለባ,(n) noun,noun,none
face,ገጽ,(n) noun,noun,none
face to face,ገጽ ንገጽ,(adv) adverb,adverb,none
facilitate,ኣቕለለ,(v) verb,verb,none
factory,ቤተ ዕዮ,(n) noun,noun,none
faded,ሃሳስ,(a) adjective,adjective,none
fail,"ፈሸለ, ምውዳቕ, ምትራፍ",(v) verb,verb,none
failed,"ወዲቐ, ተሪፈ",(a) adjective,adjective,none
failure,ፍሽለት,(n) noun,noun,none
faith,እምነት,(n) noun,noun,none
faithful,እሙን,(a) adjective,adjective,none
fall,ውድቀት,(n) noun,noun,none
fall,ወደቐ,(v) verb,verb,none
fall again,እንደገና ወደቐ,(v) verb,verb,none
fall asleep,ደቀሰ,(v) verb,verb,none
fall back,ደሓረ,(v) verb,verb,none
family,ቤተ ሰባዊ,(a) adjective,adjective,none
family,ስድራ ቤት,(n) noun,noun,none
famous,ውሩይ,(a) adjective,adjective,none
fantasy,ባህጊ,(n) noun,noun,none
far,ርሑቕ,(adv) adverb,adverb,none
farewell,ደሓን ኩን,(interj) interjection,interjection,none
farm,ናይ ሕርሻ ገዛ,(n) noun,noun,none
farmer,ሓረስታይ,(n) noun,noun,none
fashion,ቅዲ ሞዳ,(n) noun,noun,none
fast,ቅልጡፍ,(a) adjective,adjective,none
fasten,ኣሰረ,(v) verb,verb,none
fat,ስቡሕ,(a) adjective,adjective,none
father,ኣቦ,(n) noun,noun,none
fatigue,ድኹም,(a) adjective,adjective,none
fault,(na) ጌጋ,(uncategorized) Uncategorized,uncategorized,none
favourite,ፍትው,(an) adjective noun,adjective,noun-derived
fear,ፍርሒ,(n) noun,noun,none
fear,ፈርሐ,(v) verb,verb,none
feast,(na) በዓል,(uncategorized) Uncategorized,uncategorized,none
feather,ክንቲት,(n) noun,noun,none
February,ለካቲት,(n) noun,noun,none
feed,ኣብልዐ,(v) verb,verb,none
feel sorry,ደንገጸ,(v) verb,verb,none
female,ኣንስተይቲ,(n) noun,noun,none
female director,ሓላፊት,(n) noun,noun,none
female guard,ሓላዊት,(n) noun,noun,none
feminine,ኣንስታይ,(a) adjective,adjective,none
fence,ተኽሊ ሓጹር,(n) noun,noun,none
fertile,ፈራይ,(a) adjective,adjective,none
fertilizer,ድኹዒ,(n) noun,noun,none
festival,(na) በዓል,(uncategorized) Uncategorized,uncategorized,none
fever,ረስኒ,(n) noun,noun,none
feverish,ርሱን,(a) adjective,adjective,none
fiancé,ሕጹይ,(v) verb,verb,none
fiancée,ሕጺቲ,(v) verb,verb,none
field,ጎልጉል,(n) noun,noun,none
fifteen,ዓሰርተ ሓሙሽተ,(an) adjective noun,adjective,noun-derived
fifth grade,ሓሙሻይ ክፍሊ,(n) noun,noun,none
fifty,ሓምሳ,(a) adjective,adjective,none
fight,ቃልሲ,(n) noun,noun,none
fighter,ተጋዳላይ,(n) noun,noun,none
figure,ቅርጺ,(n) noun,noun,none
fill up,መለአ,(v) verb,verb,none
film,ፊልም,(n) noun,noun,none
finally,"መወዳእትኢ, ኣብ",(adv) adverb,adverb,none
finance,ፊናንስ,(n) noun,noun,none
find,ረከበ,(v) verb,verb,none
fine,መቕጻዕቲ,(n) noun,noun,none
finger,ኣጻብዕ,(n) noun,noun,none
finger nail,ጽፍሪ,(n) noun,noun,none
finger nails,ጽፍሪ ኢድ,(n) noun,noun,none
fingers,አጻብዕቲ ኢድ,(n) noun,noun,none
finish,ወደአ,(v) verb,verb,none
fire,ሓዊ,(n) noun,noun,none
fireman,መጠፈኢ ሓዊ,(n) noun,noun,none
firmly,ጽኑዕ,(a) adjective,adjective,none
first,ቀዳማይ,(a) adjective,adjective,none
first grade,ቀዳማይ ክፍሊ,(n) noun,noun,none
first name,ስም,(n) noun,noun,none
fish,ዓሳ,(n) noun,noun,none
fish for,ገፈፈ,(v) verb,verb,none
fisher,ገፋፍ ዓሳ,(n) noun,noun,none
fishhook,መቑለብ ዓሳ,(n) noun,noun,none
fist,ዕምኮ,(n) noun,noun,none
fit,ተጋጠመ,(v) verb,verb,none
five,ሓሙሽተ,(a) adjective,adjective,none
fix,ኣዐረየ,(v) verb,verb,none
flag,ባንደራ,(n) noun,noun,none
flake,ቅርፍቲ,(n) noun,noun,none
flame,ሃልሃልታ,(n) noun,noun,none
flat,ጸፊሕ,(a) adjective,adjective,none
flatten,ኣጽፈሐ,(v) verb,verb,none
flesh,ስጋ,(n) noun,noun,none
flexibility,ተዓጻጻፍነት,(n) noun,noun,none
flexible,ተዓጻጻፊ,(a) adjective,adjective,none
flight,ንፍረት,(n) noun,noun,none
float,ተንስፈፈ,(v) verb,verb,none
flood,ኣጥለቕለቐ,(v) verb,verb,none
flour,ሓሪጭ,(n) noun,noun,none
flow,ፈሰሰ,(v) verb,verb,none
flower,ዕምባባ,(n) noun,noun,none
flower,ዓምበበ,(v) verb,verb,none
flu,ኡንፍልወንዛ,(n) noun,noun,none
flute,ሻምብቆ,(n) noun,noun,none
fly,ሃመማ,(n) noun,noun,none
fly away,ነፈረ,(v) verb,verb,none
flying,ንፍረት,(n) noun,noun,none
fog,ግመ,(n) noun,noun,none
foggy,ግማዊ,(a) adjective,adjective,none
fold,ዕጻፍ,(n) noun,noun,none
fold,ዓጸፈ,(v) verb,verb,none
folk,ሰባት,(n) noun,noun,none
follow,ሰዓበ,(v) verb,verb,none
following,ዝስዕብ,(a) adjective,adjective,none
food,መግቢ,(n) noun,noun,none
foolish,ዓሻ,(a) adjective,adjective,none
foot,እግሪ,(n) noun,noun,none
football,ኩእሶ እግሪ,(n) noun,noun,none
footstep,ስጉምቲ,(n) noun,noun,none
forbid,ወገደ,(v) verb,verb,none
force,ሓይሊ,(n) noun,noun,none
forehead,ግንባር,(n) noun,noun,none
foreign,ባእዳዊ,(a) adjective,adjective,none
foreigner,ወጻእተኛ,(an) adjective noun,adjective,noun-derived
forest,ጫካ,(n) noun,noun,none
foretell,ኣፍለጠ,(v) verb,verb,none
forget,ረሰዐ,(v) verb,verb,none
forgetfulness,ርሳዐ,(n) noun,noun,none
forgive,ይቕረ በለ,(v) verb,verb,none
fork,ፋርከታ,(n) noun,noun,none
form,ቅርጺ,(n) noun,noun,none
formality,ጽምብል,(n) noun,noun,none
formation,ኣቀራርጻ,(n) noun,noun,none
formerly,ኣብ ሕሉፍ እዋናት,(adv) adverb,adverb,none
fortune,ዕድል,(n) noun,noun,none
forty,ኣርባዓ,(an) adjective noun,adjective,noun-derived
forward,ሰደደ,(v) verb,verb,none
found,ሰረተ,(v) verb,verb,none
fountain,ፈልፋሊ,(n) noun,noun,none
four,ኣርባዕተ,(an) adjective noun,adjective,noun-derived
fourteen,ዓሰርተ ኣርባዕተ,(an) adjective noun,adjective,noun-derived
fourth grade,ራብዓይ ክፍሊ,(n) noun,noun,none
fox,ወኻርያ,(n) noun,noun,none
fragile,ተሰባሪ,(a) adjective,adjective,none
fragrance,ሽታ ፈረንጂ,(n) noun,noun,none
frankly,ብቕንዕና,(adv) adverb,adverb,none
frankness,ቅንዕና,(n) noun,noun,none
free,ነጻ,(a) adjective,adjective,none
freedom,ሓርነት,(n) noun,noun,none
French,ፈረንሳዊ,(a) adjective,adjective,none
frequent,ተደጋጋሚ,(a) adjective,adjective,none
frequent,ኣዘውተረ,(v) verb,verb,none
frequently,ብዝተደጋገመ,(adv) adverb,adverb,none
fresh,ሓዲሽ,(a) adjective,adjective,none
Friday,ዓርቢ,(n) noun,noun,none
friend,ዓርኪ,(n) noun,noun,none
friendly,ዕርክነታዊ,(a) adjective,adjective,none
friendship,ዕርክነት,(n) noun,noun,none
frightening,ኣፍራሒ,(a) adjective,adjective,none
frog,እንቁሮያብ,(n) noun,noun,none
front,ቅድሚት,(n) noun,noun,none
"front of, in",ቅድም,(prep) preposition,preposition,none
"front, in",ብቕድሚ,(adv) adverb,adverb,none
frost,ኣስሓይታ,(n) noun,noun,none
fruit,ፍረ,(n) noun,noun,none
fruit tree,ተኽሊ ፍረ,(n) noun,noun,none
frying,ቅልዋ,(n) noun,noun,none
fuel,ነዳዲ,(n) noun,noun,none
fulfill,ሰመረ,(v) verb,verb,none
full,ምሉእ,(a) adjective,adjective,none
fun (have),ተዘናገዐ,(v) verb,verb,none
function,ኣገልገለ,(v) verb,verb,none
fund,እኩብ ገንዘብ,(n) noun,noun,none
fund,ሰረተ,(v) verb,verb,none
funeral,ቀብራዊ,(a) adjective,adjective,none
funny,መስሓቕ,(a) adjective,adjective,none
furious,ሓራቖ,(a) adjective,adjective,none
furnace,ፎርነሎ,(n) noun,noun,none
furniture,ኣቕሓ ገዛ,(n) noun,noun,none
future,መጻኢ,(n) noun,noun,none
gain,ረብሓ,(n) noun,noun,none
gallery,ኣዳራሽ,(n) noun,noun,none
game,ጸወታ,(n) noun,noun,none
game of chance,ምጥላዕ,(n) noun,noun,none
gangster,ሽፍታ,(n) noun,noun,none
garden,ጀርዲን,(n) noun,noun,none
garlic,ሽጉርቲ ጻዕዳ,(n) noun,noun,none
gas,ጋዝ,(n) noun,noun,none
gasoline,በንዚን,(n) noun,noun,none
gather,ኣከበ,(v) verb,verb,none
gather honey,ማዓር ኣከበ,(v) verb,verb,none
gathering,ኣኼባ,(n) noun,noun,none
general,ሓፈሻዊ,(a) adjective,adjective,none
general,ጀነራል,(n) noun,noun,none
generosity,ልውህና,(n) noun,noun,none
generous,ለጋስ,(a) adjective,adjective,none
genius,ኣስተውዓሊ,(an) adjective noun,adjective,noun-derived
gentleness,ሕያውነት,(n) noun,noun,none
gently,ቀስ,(adv) adverb,adverb,none
geography,ጆግራፍ,(n) noun,noun,none
geometrician,ጆመትሪ,(n) noun,noun,none
German,ጅርመናዊ,(a) adjective,adjective,none
get,ረኸበ,(v) verb,verb,none
get around,ሓለፈ,(v) verb,verb,none
get used to,ለመደ,(v) verb,verb,none
get used to someone,ኣልመደ,(v) verb,verb,none
gift,ህያብ,(n) noun,noun,none
giraffe,ዘራፍ,(n) noun,noun,none
girl,ጓል,(n) noun,noun,none
girlhood,ንእስነት,(n) noun,noun,none
give,ሃበ,(v) verb,verb,none
give an airing,ኣናፈሰ,(v) verb,verb,none
give back,መለሰ,(v) verb,verb,none
gladly,ደስታ,(adv) adverb,adverb,none
glass,ብርጭቆ,(n) noun,noun,none
gleam,ኣንጸባረቐ,(v) verb,verb,none
glide,ኣንሻተተ,(v) verb,verb,none
gloomy,ትኩዝ,(a) adjective,adjective,none
glove,ግዋንቲ,(n) noun,noun,none
glue,ኮላ,(n) noun,noun,none
glue,ለጠፈ,(v) verb,verb,none
gnash,ፋሕፈሐ,(v) verb,verb,none
go,ከደ,(v) verb,verb,none
go away,ረሓቐ,(v) verb,verb,none
go beyond,ቀደመ,(v) verb,verb,none
goal,ዕላማ,(n) noun,noun,none
goat,ጢል,(n) noun,noun,none
God,እግዚኣብሄር,(n) noun,noun,none
godchild,ጓል ብልግና,(n) noun,noun,none
godfather,ኣባሊገ,(n) noun,noun,none
godmother,ኣባሊገ,(n) noun,noun,none
godson,ወዲ ብልግና,(n) noun,noun,none
goggles,መነጸር,(n) noun,noun,none
gold,ወርቂ,(n) noun,noun,none
good,ጽቡቕ,(a) adjective,adjective,none
good evening,ከመይ,(n) noun,noun,none
good looking,ምልኩዕ,(a) adjective,adjective,none
good morning,(n interj) ደሓንዶ,(uncategorized) Uncategorized,uncategorized,none
goodbye,ደሓን ኩን,(interj) interjection,interjection,none
goodnight,ደሓን ሕደር,(interj) interjection,interjection,none
goods,ኣቕሓ,(n) noun,noun,none
goodwill,ጽቡቕ ድሌት,(n) noun,noun,none
gossip,ኣዕለለ,(v) verb,verb,none
government,መንግስቲ,(n) noun,noun,none
grace,ምሕረት,(n) noun,noun,none
grade,ነጥቢ,(v) verb,verb,none
graduate,ምምራቕ,(v) verb,verb,none
graduated,ተመሪቐ,(a) adjective,adjective,none
grain,እኽሊ,(n) noun,noun,none
gram,ግራም,(n) noun,noun,none
grammar,ስዋስዉ,(n) noun,noun,none
granary,መኽዘን ኽፍሊ,(n) noun,noun,none
grand father,ኣቦሓጎ,(n) noun,noun,none
grand mother,ዓባይ,(n) noun,noun,none
granddaughter (son),ጓል,(n) noun,noun,none
grandson (daughter),ወዲ,(n) noun,noun,none
grandson (son),ወዲ ወዲ,(n) noun,noun,none
grant,ኣፍቀደ,(v) verb,verb,none
grape,ወይኒ,(n) noun,noun,none
grasp,"ጸቐጠ, ተረድአ",(v) verb,verb,none
grass,ሳዕሪ,(n) noun,noun,none
grasshopper,ጢል ኣደይ,(n) noun,noun,none
grateful,ኣመስጋኒ,(a) adjective,adjective,none
gratitude,ምስጋና,(n) noun,noun,none
grave,መቓብር,(n) noun,noun,none
grazing,ሳዕሪ ምብላዕ,(n) noun,noun,none
grease,ስብሒ,(n) noun,noun,none
great,"ዓብዪ, ዓብይ",(a) adjective,adjective,none
greatly,ብብዚሒ,(adv) adverb,adverb,none
green,ቀጠልያ,(a) adjective,adjective,none
green beans,ፋጆሊ,(n) noun,noun,none
green cabbage,ካውሎ,(n) noun,noun,none
green collards,ሓምሊ,(n) noun,noun,none
green mustard,ሐምሊ ኣድሪ,(n) noun,noun,none
green onion,ዝቢኢ ሹጉርቲ,(n) noun,noun,none
green pepper,ጉዕ,(n) noun,noun,none
greenery,ለምዒ,(n) noun,noun,none
greet,ተቐበለ,(v) verb,verb,none
greeting,ሰላምታ,(n) noun,noun,none
grey,ሓሙኹሽታይ,(a) adjective,adjective,none
grief,ሓዘን,(n) noun,noun,none
grilled meat,ጥብሲ,(n) noun,noun,none
grind,ጠሓነ,(v) verb,verb,none
grip,ምሓዝ,(n) noun,noun,none
grocer,በዓል ድኳን,(n) noun,noun,none
grocery,ድኳን,(n) noun,noun,none
ground,ምድሪ,(n) noun,noun,none
group,ጉጅለ,(n) noun,noun,none
group,ጎጅለ,(v) verb,verb,none
grow,ዓበየ,(v) verb,verb,none
grow old,ኣረገ,(v) verb,verb,none
growl,ኣዕዘምዘመ,(v) verb,verb,none
grumble,ኣጉረምረመ,(v) verb,verb,none
guarantee,ውሕስነት,(n) noun,noun,none
guarantee,ተዋሓሰ,(v) verb,verb,none
guard,"ሓላዊ, ዘብዐኛ",(n) noun,noun,none
guess,ገመተ,(v) verb,verb,none
guide,መራሒ,(n) noun,noun,none
guilt,ገበን,(n) noun,noun,none
guilty,በደለኛ,(a) adjective,adjective,none
guilty,ገበነኛ,(n) noun,noun,none
gums,ግርጻን,(n) noun,noun,none
gun,ጠበንጃ,(n) noun,noun,none
gymnastics,ምውስዋስ አካላት,(n) noun,noun,none
habit,ኣመል,(n) noun,noun,none
hail,ኣጨብጨበ,(v) verb,verb,none
hair,"ጽምሪ, ጨጉሪ",(n) noun,noun,none
hairdresser,ቀምቃሚ,(n) noun,noun,none
half,ፍርቂ,(an) adjective noun,adjective,noun-derived
half year,መንፈቕ,(n) noun,noun,none
hammer,ማርተሎ,(n) noun,noun,none
hand,ኢድ,(n) noun,noun,none
hand bell,ቃጭል,(n) noun,noun,none
handful,ዕታሮ,(n) noun,noun,none
handkerchief,መንዲል,(n) noun,noun,none
handshake,ሰላምታ ኢድ,(n) noun,noun,none
hand writing,ጽሕፈት,(n) noun,noun,none
hang up,ኣንጠልጠለ,(v) verb,verb,none
happen,ኮነ,(v) verb,verb,none
happiness,ታሕጓስ,(n) noun,noun,none
happy,ሕጉስ,(a) adjective,adjective,none
hard,ድሩቕ,(a) adjective,adjective,none
hare,ማንቲለ በረኻ,(n) noun,noun,none
harm,ጉድለት,(n) noun,noun,none
harmful,ተጓዳኢ,(a) adjective,adjective,none
harmless,ዘይጎድእ,(a) adjective,adjective,none
harmony,ስምምዕ,(n) noun,noun,none
harvest,ቀውዒ,(n) noun,noun,none
harvest,ቀውዐ,(v) verb,verb,none
harvest grapes,ወይኒ ኣረየ,(v) verb,verb,none
hat,ቆቢዕ,(n) noun,noun,none
hate,ጸልአ,(v) verb,verb,none
hay,ሓሰር,(n) noun,noun,none
hazy,ግማዊ,(a) adjective,adjective,none
he,ንሱ,(prn) pronoun,pronoun,none
head,"ኣስራሒት, ርእሲ",(n) noun,noun,none
head,ኣስራሒ,(nm) noun masculine,noun,masculine
head master,"ዳይረክቶር,",(n) noun,noun,none
healing,ምሕዋይ,(n) noun,noun,none
health,ጥዕና,(n) noun,noun,none
healthy,ጥዑይ,(a) adjective,adjective,none
hear,ሰመዐ,(v) verb,verb,none
hearing,ምስማዕ,(n) noun,noun,none
heart,ልቢ,(n) noun,noun,none
heat,ዋዒ,(n) noun,noun,none
heat,ኣውዓየ,(v) verb,verb,none
heater,መሞቒ,(n) noun,noun,none
